SMILES,PCE,NumHAcceptors,NumHDonors,alkyl_num,frag_sym,HOMO_calc,LUMO_calc,dipole,MPI,surface_min,surface_max,TPSA,MolLogP,PSA,control_PCE,anchor_end_BA,anchor_end_CA,anchor_end_NO,anchor_end_PA,anchor_end_PO,anchor_end_SA,anchor_end_SH,anchor_end_SiO,MetalOxide_ITO,MetalOxide_NiOx,MetalOxide_SnO2,MetalOxide_TiO2,MetalOxide_ZnO
NC(=O)CNCCS(=O)(=O)O,22.65,4,3,2,1,-6.473761,0.357154,4.633114,18.40192,-35.84817,53.46291,109.49,-2.0509,153.3,20.21,0,0,0,0,0,1,0,0,0,0,1,0,0
COc1ccc(NC(C)=O)c([N+](=O)[O-])c1,22.63,4,1,0,0,-6.230089,-2.757983,1.510021,11.44582,-34.47647,25.98267,81.47,1.5618,127.55,20.2,0,0,1,0,0,0,0,0,0,0,1,0,0
CCOC(=O)c1ccc([N+](=O)[O-])cc1,23.16,4,0,0,0,-7.937877,-2.911409,4.572889,12.15631,-30.81833,20.82768,69.44,1.7715,134.51,20.42,0,0,1,0,0,0,0,0,0,0,1,0,0
Nc1ccc(S(=O)(=O)O)cc1,20.32,3,2,0,1,-6.273183,-0.859333,6.132441,17.40029,-38.42176,47.36552,80.39,0.5155,114.12,18.02,0,0,0,0,0,1,0,0,0,0,1,0,0
O=C(O)c1ccsc1,19.59,2,1,0,0,-6.984313,-1.356977,1.606405,10.63053,-34.41696,47.3162,37.3,1.4463,57.12,17.54,0,1,0,0,0,0,0,0,0,0,1,0,0
O=C(O)Cc1ccsc1,20.61,2,1,1,0,-6.554043,-0.549536,1.227091,10.79467,-32.23684,47.9689,37.3,1.3752,77.02,17.54,0,1,0,0,0,0,0,0,0,0,1,0,0
O=C(O)CCc1ccsc1,18.67,2,1,2,0,-6.545251,-0.514071,1.259921,10.53704,-34.40626,47.72762,37.3,1.7653,80.71,17.54,0,1,0,0,0,0,0,0,0,0,1,0,0
O=C(O)c1ccc(I)cc1,20.7,1,1,0,1,-6.825546,-1.795642,1.385529,8.9371,-31.69972,49.95862,37.3,1.9894,57.75,19.5,0,1,0,0,0,0,0,0,0,1,0,0,0
O=C(O)c1c(F)c(F)c(I)c(F)c1F,22.02,1,1,0,1,-7.320429,-2.148348,1.400326,10.37463,-31.35743,54.30249,37.3,2.5458,80.38,19.5,0,1,0,0,0,0,0,0,0,1,0,0,0
NC(N)=O,21.2,1,2,0,0,-6.855656,1.040954,3.7649,21.6803,-45.94638,40.02697,69.11,-0.9762,70.89,20.17,0,0,1,0,0,0,0,0,0,0,1,0,0
O=C1CCC(=O)N1,23.99,2,1,0,1,-7.275316,-0.723376,1.8282,18.19151,-33.14113,40.82574,46.17,-0.577,105.08,22.59,0,0,1,0,0,0,0,0,0,0,1,0,0
N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,15.79,4,0,0,0,-7.489923,-4.976361,0,16.74081,-25.85226,34.38375,95.16,0.08232,181.2,18.83,0,0,1,0,0,0,0,0,0,1,0,0,0
N#CC(C#N)=c1cc(F)c(=C(C#N)C#N)cc1F,20.16,4,0,0,0,-7.661107,-5.197319,0,16.53239,-26.93475,34.68376,95.16,0.36052,171.46,18.83,0,0,1,0,0,0,0,0,0,1,0,0,0
N#CC(C#N)=c1c(F)c(F)c(=C(C#N)C#N)c(F)c1F,21.07,4,0,0,0,-7.787731,-5.420561,0,16.26931,-25.3451,43.80484,95.16,0.63872,160.2,18.83,0,0,1,0,0,0,0,0,0,1,0,0,0
