alkyl_num,frag_sym,HOMO_calc,LUMO_calc,dipole,MPI,surface_min,surface_max,PSA
0,1,-6.494416,-0.746027,3.719136,14.06089,-45.87441,49.0242,116.54
0,1,-7.324153,-1.0694,2.101104,13.29871,-43.72806,51.04584,88.78
0,1,-7.756025,-2.208901,4.031949,15.19361,-37.54742,57.83996,116.42
1,1,-6.562492,0.609072,1.90102,16.93497,-42.38545,52.30655,85.95
1,1,-6.796841,0.119092,1.238987,14.73779,-35.22801,48.8338,70.92
3,1,-6.143101,0.835353,2.580468,8.91314,-26.92065,17.17041,85.64
0,0,-8.126163,-0.406745,2.842595,11.46708,-36.8908,25.36598,133.96
1,1,-8.170442,0.791538,3.266375,15.86839,-28.58316,53.59922,78.72
0,0,-7.493682,0.273123,1.775334,11.50882,-36.59872,15.83471,56.26
0,1,-8.101561,0.344698,3.1104,21.41101,-43.96167,57.23893,72.8
0,0,-4.706651,-1.273565,0.0,7.64798,-24.32436,20.50514,255.7
2,0,-6.097532,-0.296762,1.343546,9.79352,-32.09147,27.20126,64.37
4,1,-5.378899,-0.906493,1.684463,10.50495,-41.07302,50.48756,164.24
0,0,-6.31522,0.96297,2.246176,9.17935,-38.38046,37.84767,56.18
2,1,-6.473761,0.357154,4.633114,18.40192,-35.84817,53.46291,153.3
0,0,-6.230089,-2.757983,1.510021,11.44582,-34.47647,25.98267,127.55
0,0,-7.937877,-2.911409,4.572889,12.15631,-30.81833,20.82768,134.51
0,1,-6.273183,-0.859333,6.132441,17.40029,-38.42176,47.36552,114.12
0,0,-6.984313,-1.356977,1.606405,10.63053,-34.41696,47.3162,57.12
1,0,-6.554043,-0.549536,1.227091,10.79467,-32.23684,47.9689,77.02
2,0,-6.545251,-0.514071,1.259921,10.53704,-34.40626,47.72762,80.71
0,1,-6.825546,-1.795642,1.385529,8.9371,-31.69972,49.95862,57.75
0,1,-7.320429,-2.148348,1.400326,10.37463,-31.35743,54.30249,80.38
0,0,-6.855656,1.040954,3.7649,21.6803,-45.94638,40.02697,70.89
0,1,-7.275316,-0.723376,1.8282,18.19151,-33.14113,40.82574,105.08
0,0,-7.489923,-4.976361,0.0,16.74081,-25.85226,34.38375,181.2
0,0,-7.661107,-5.197319,0.0,16.53239,-26.93475,34.68376,171.46
0,0,-7.787731,-5.420561,0.0,16.26931,-25.3451,43.80484,160.2
0,0,-8.183037,-5.823766,0.0,17.97737,-24.53822,49.25561,188.95
0,1,-5.185823,-1.517599,2.353364,7.29921,-35.26154,46.14205,143.78
1,1,-6.743791,-0.420226,1.268934,13.34644,-42.57693,49.34049,100.72
0,0,-6.031738,-0.606704,2.367453,15.19849,-35.18947,47.32333,89.78
3,0,-6.61558,1.124162,3.086039,11.22945,-44.87121,39.55943,100.3
0,1,-7.265667,-1.374597,4.580704,10.6675,-45.59037,18.66194,113.64
0,0,-7.092615,-2.619402,0.119218,10.14579,-28.14337,52.52475,70.56
2,0,-7.072671,-0.900727,3.984503,13.42302,-50.17024,55.80617,128.31
1,0,-6.538676,-0.436099,3.268158,13.56377,-41.88259,56.54862,172.32
0,1,-8.324041,0.418538,3.438028,21.33645,-32.70327,56.28012,76.99
1,1,-7.862175,0.416342,6.024559,23.7172,-37.45001,46.51481,106.97
2,1,-6.965249,0.621689,4.217277,19.04274,-34.8212,54.5529,108.55
3,1,-6.732921,0.705254,2.499595,17.76312,-34.47921,54.28596,130.18
4,1,-6.255163,1.438441,1.281546,7.10441,-40.0448,21.3925,28.36
0,0,-6.439721,-2.760254,0.0,20.15963,-42.30942,42.36681,96.87
0,0,-8.067382,-0.331129,1.50051,16.92165,-41.60797,67.77043,268.18
0,1,-8.815629,-3.130682,4.209032,14.82922,-22.58323,63.41105,155.83
0,1,-5.04283,1.164414,0.001676,7.9577,-33.91135,11.19322,21.09
6,1,-6.303698,1.313198,1.346415,10.43894,-39.06901,39.99254,61.14
0,0,-6.474197,-2.686245,1.9192,10.02886,-49.34277,52.39683,114.69
0,1,-6.370584,-0.33125,3.1398,9.56221,-38.53985,11.53632,44.66
0,1,-7.308692,0.234449,1.666657,7.50487,-35.90573,45.81512,33.32
1,1,-7.368053,0.084665,1.503902,7.29029,-35.52558,45.63442,37.15
0,0,-6.80861,-0.780968,1.49611,18.78751,-36.55656,51.3989,86.38
1,0,-5.993707,-0.090177,4.015145,16.89833,-45.5247,50.27925,119.91
1,0,-6.470152,-0.239265,3.046005,15.66967,-39.0273,52.19933,103.07
4,1,-5.596679,-0.984315,1.994787,11.73293,-40.67787,50.91942,173.62
4,1,-5.336094,-1.465168,2.757104,11.50925,-39.91065,51.69599,222.72
1,0,-6.08046,-0.397062,2.504814,12.20302,-34.17815,51.65284,100.38
1,1,-7.612527,0.186782,1.616893,14.28336,-35.23395,46.57719,56.08
1,0,-6.64692,-0.652913,2.279892,10.7669,-31.95421,50.42976,97.06
1,0,-6.611366,-0.360252,2.238454,10.36228,-33.45076,49.0119,84.03
1,0,-6.628331,0.057214,2.349416,13.35611,-34.75977,47.80752,69.17
1,0,-6.524858,-0.18068,2.432912,12.71824,-31.03815,51.29339,82.92
2,1,-6.131477,0.647078,4.361105,13.55154,-34.85902,53.72085,156.36
0,0,-6.873256,-2.39629,3.281779,13.73656,-37.06058,45.59662,168.93
0,1,-6.029021,-0.733999,1.181012,9.19824,-15.5758,28.52779,62.91
10,1,-7.460739,-2.777502,2.25814,10.4531,-35.84653,46.07665,117.55
0,0,-5.649514,-0.386105,2.263912,10.93566,-21.34253,44.39048,72.78
0,0,-5.892001,-0.696895,4.007522,11.92065,-17.5834,48.01478,98.42
2,0,-7.733736,-0.29774,2.844996,16.93823,-36.50146,49.66623,133.31
2,0,-5.732439,-0.195954,1.198115,12.62014,-32.91709,56.0488,106.38
